Dset_prefix,Subj_results_directory,Participants,A_folder,A_labelname,A_label,B_folder,B_labelname,B_label,Paired_ttest,Contrast_against_baseline
BothShort_Hit_Encoding-Retrieval,/Volumes/Pegasus/Anderson/ERwD/subject_results,ERwD001 ERwD002 ERwD003 ERwD005 ERwD006 ERwD007 ERwD008 ERwD009 ERwD010 ERwD011 ERwD012 ERwD013 ERwD014 ERwD015 ERwD016 ERwD018 ERwD020 ERwD021 ERwD022 ERwD023,Encoding_BothShort,Hit,EncodingSubsequent_BothShort_Hit#0_Coef,Retrieval_BothShort,Hit,Retrieval_BothShort_Hit#0_Coef,TRUE,FALSE
AllRuns_Hit_Encoding-Retrieval,/Volumes/Pegasus/Anderson/ERwD/subject_results,ERwD001 ERwD002 ERwD003 ERwD005 ERwD006 ERwD007 ERwD008 ERwD009 ERwD010 ERwD011 ERwD012 ERwD013 ERwD014 ERwD015 ERwD016 ERwD018 ERwD020 ERwD021 ERwD022 ERwD023,Encoding_All,Hit,EncodingSubsequent_AllRuns_Hit#0_Coef,Retrieval_All,Hit,Retrieval_AllRuns_Hit#0_Coef,FALSE,TRUE
AllRuns_AllEvents_Encoding-Retrieval,/Volumes/Pegasus/Anderson/ERwD/subject_results,ERwD001 ERwD002 ERwD003 ERwD005 ERwD006 ERwD007 ERwD008 ERwD009 ERwD010 ERwD011 ERwD012 ERwD013 ERwD014 ERwD015 ERwD016 ERwD018 ERwD020 ERwD021 ERwD022 ERwD023,Encoding_All_AllEvents,AllEvents,EncodingSubsequent_AllRuns_AllEvents#0_Coef,Retrieval_All_AllEvents,AllEvents,Retrieval_AllRuns_AllEvents#0_Coef,FALSE,TRUE
